location,location_type,topic,start_year,percent_no_change,percent_slight_loss,percent_large_loss,percent_slight_increase,percent_large_increase,total_orgs
AK,state,aggregate,1994,13.42,10.31,19.07,14.4,42.8,514.0
AL,state,aggregate,1994,14.83,11.35,18.59,15.46,39.76,1436.0
AR,state,aggregate,1994,15.16,8.33,19.68,16.06,40.76,996.0
AZ,state,aggregate,1994,12.05,8.4,20.32,15.0,44.23,1560.0
CA,state,aggregate,1994,12.4,10.02,23.41,14.1,40.07,14663.0
CO,state,aggregate,1994,11.1,9.4,19.88,13.95,45.67,2415.0
CT,state,aggregate,1994,14.62,10.54,18.99,15.54,40.31,2059.0
DC,state,aggregate,1994,9.75,9.37,25.89,11.92,43.07,1846.0
DE,state,aggregate,1994,11.86,7.63,21.4,15.25,43.86,472.0
FL,state,aggregate,1994,12.32,9.21,20.74,14.43,43.3,4885.0
GA,state,aggregate,1994,12.59,8.86,19.98,14.52,44.05,2438.0
HI,state,aggregate,1994,12.24,9.44,28.32,12.24,37.76,572.0
IA,state,aggregate,1994,15.46,9.58,19.05,17.93,37.98,1701.0
ID,state,aggregate,1994,11.44,10.81,23.09,12.71,41.95,472.0
IL,state,aggregate,1994,14.78,9.57,19.75,15.18,40.72,5224.0
IN,state,aggregate,1994,13.35,10.76,20.12,14.39,41.38,3086.0
KS,state,aggregate,1994,14.74,11.63,18.68,16.77,38.18,1574.0
KY,state,aggregate,1994,13.72,9.49,19.68,16.79,40.32,1560.0
LA,state,aggregate,1994,16.05,9.92,20.29,14.08,39.67,1321.0
MA,state,aggregate,1994,14.14,8.9,19.05,16.74,41.18,4541.0
MD,state,aggregate,1994,12.2,8.91,20.21,15.37,43.3,2524.0
ME,state,aggregate,1994,15.82,8.52,16.73,17.75,41.18,986.0
MI,state,aggregate,1994,13.09,9.13,18.34,17.13,42.31,4325.0
MN,state,aggregate,1994,13.65,8.96,18.49,17.14,41.76,3180.0
MO,state,aggregate,1994,13.07,8.69,19.23,14.72,44.29,2486.0
MS,state,aggregate,1994,16.16,10.2,19.21,14.44,40.0,755.0
MT,state,aggregate,1994,12.97,8.45,19.76,19.91,38.91,663.0
NC,state,aggregate,1994,12.41,8.54,19.36,15.4,44.3,3384.0
ND,state,aggregate,1994,14.81,8.78,15.9,17.92,42.6,547.0
NE,state,aggregate,1994,14.18,9.16,22.47,17.16,37.03,1037.0
NH,state,aggregate,1994,14.65,8.23,18.25,15.94,42.93,778.0
NJ,state,aggregate,1994,14.38,10.67,18.06,17.2,39.68,3261.0
NM,state,aggregate,1994,10.49,8.85,19.45,13.22,47.98,915.0
NV,state,aggregate,1994,13.28,9.64,21.61,13.8,41.67,384.0
NY,state,aggregate,1994,14.61,9.97,19.93,16.06,39.43,10453.0
OH,state,aggregate,1994,14.42,9.14,19.09,16.62,40.73,6270.0
OK,state,aggregate,1994,13.29,9.92,20.73,14.26,41.8,1452.0
OR,state,aggregate,1994,11.25,8.67,20.24,15.12,44.73,1858.0
PA,state,aggregate,1994,13.73,7.82,19.14,16.18,43.13,6525.0
RI,state,aggregate,1994,8.42,9.82,21.46,16.69,43.62,713.0
SC,state,aggregate,1994,13.6,8.86,18.34,14.06,45.14,1287.0
SD,state,aggregate,1994,12.74,9.51,17.49,18.25,42.02,526.0
TN,state,aggregate,1994,13.53,8.04,18.47,14.9,45.07,2128.0
TX,state,aggregate,1994,12.78,9.19,22.9,13.46,41.68,7052.0
UT,state,aggregate,1994,10.04,9.66,20.08,11.93,48.3,528.0
VA,state,aggregate,1994,12.36,8.46,20.6,14.19,44.38,3276.0
VT,state,aggregate,1994,11.94,9.3,17.05,15.97,45.74,645.0
WA,state,aggregate,1994,12.64,9.87,21.38,14.42,41.69,2919.0
WI,state,aggregate,1994,14.13,9.06,16.99,17.09,42.73,2937.0
WV,state,aggregate,1994,13.38,9.57,21.34,14.53,41.18,867.0
WY,state,aggregate,1994,14.32,6.76,20.0,14.86,44.05,370.0
All USA,all_usa,aggregate,1994,13.326737609647415,9.36151317327018,20.24523627751897,15.334278547278874,41.73223439228456,128366.0
"Atlanta-Sandy Springs-Roswell, GA",cbsa,aggregate,1994,11.84,8.61,21.21,15.22,43.12,1301.0
"Austin-Round Rock, TX",cbsa,aggregate,1994,12.84,6.76,21.79,10.98,47.64,592.0
"Baltimore-Columbia-Towson, MD",cbsa,aggregate,1994,9.9,9.17,20.79,15.63,44.52,1222.0
"Birmingham-Hoover, AL",cbsa,aggregate,1994,12.83,10.41,17.19,16.95,42.62,413.0
"Boston-Cambridge-Newton, MA-NH",cbsa,aggregate,1994,13.17,8.6,19.43,16.75,42.05,3289.0
"Buffalo-Cheektowaga-Niagara Falls, NY",cbsa,aggregate,1994,17.27,11.46,17.27,17.11,36.89,637.0
"Charlotte-Concord-Gastonia, NC-SC",cbsa,aggregate,1994,11.73,9.21,19.6,15.08,44.39,597.0
"Chicago-Naperville-Elgin, IL-IN-WI",cbsa,aggregate,1994,13.25,8.83,20.59,14.86,42.48,3682.0
"Cincinnati, OH-KY-IN",cbsa,aggregate,1994,13.1,7.74,19.15,15.97,44.05,1008.0
"Cleveland-Elyria, OH",cbsa,aggregate,1994,11.64,10.25,22.38,14.56,41.17,1229.0
"Columbus, OH",cbsa,aggregate,1994,16.18,8.7,18.45,17.03,39.64,1057.0
"Dallas-Fort Worth-Arlington, TX",cbsa,aggregate,1994,11.7,9.26,23.95,11.92,43.18,1804.0
"Denver-Aurora-Lakewood, CO",cbsa,aggregate,1994,11.14,9.57,19.47,14.36,45.46,1212.0
"Detroit-Warren-Dearborn, MI",cbsa,aggregate,1994,14.04,9.72,19.04,16.27,40.92,1481.0
"Hartford-West Hartford-East Hartford, CT",cbsa,aggregate,1994,14.55,11.21,16.06,15.61,42.58,660.0
"Houston-The Woodlands-Sugar Land, TX",cbsa,aggregate,1994,11.73,9.2,24.69,13.03,41.35,1381.0
"Indianapolis-Carmel-Anderson, IN",cbsa,aggregate,1994,12.65,10.89,21.89,13.75,40.81,909.0
"Jacksonville, FL",cbsa,aggregate,1994,10.7,7.89,20.56,16.62,44.23,355.0
"Kansas City, MO-KS",cbsa,aggregate,1994,12.78,10.79,17.18,13.33,45.93,908.0
"Las Vegas-Henderson-Paradise, NV",cbsa,aggregate,1994,11.18,7.06,23.53,14.12,44.12,170.0
"Los Angeles-Long Beach-Anaheim, CA",cbsa,aggregate,1994,12.33,10.39,24.32,13.73,39.23,4486.0
